web-scraper-order;web-scraper-start-url;boxscore;boxscore-href;date;q_scores;pages;pages-href
1574849767-1357;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Slovan Bratislava W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-slovan-bratislava-w/xAsUAGC1/;25.02.2018 - 17:00;(18:15, 22:17, 18:18, 19:8);Losers stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=SA60scTA
1574849797-1366;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Ruzomberok W - Poprad W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/ruzomberok-w-poprad-w/4n6J4ujS/;24.02.2018 - 17:00;(17:12, 10:19, 19:10, 13:16);Winners stage;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Gj57weDT
1574849722-1343;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Poprad W - Nitra W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/poprad-w-nitra-w/K2hvSN1b/;04.04.2018 - 17:30;(14:12, 12:14, 18:23, 23:13);5th-8th places;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=x063vybN
1574849858-1385;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Good Angels Kosice W - Samorin W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/good-angels-kosice-w-samorin-w/GCr4e7gf/;28.03.2018 - 18:00;(24:16, 16:7, 18:10, 17:23);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849734-1347;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Slovan Bratislava W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-slovan-bratislava-w/I1lSDNAQ/;11.04.2018 - 18:00;(22:16, 8:22, 12:11, 14:7, 8:5);5th-8th places;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=x063vybN
1574849846-1381;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Good Angels Kosice W - Samorin W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/good-angels-kosice-w-samorin-w/8nudcTOs/;21.03.2018 - 18:00;(12:18, 20:6, 13:10, 10:9);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849951-1416;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Good Angels Kosice W - Piestanske Cajky W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/good-angels-kosice-w-piestanske-cajky-w/UcXEWN2I/;04.11.2017 - 18:00;(19:20, 12:12, 18:7, 15:11);;
1574849840-1379;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Banska Bystrica W - Piestanske Cajky W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/banska-bystrica-w-piestanske-cajky-w/S8uxnVuH/;14.03.2018 - 18:00;(11:25, 11:24, 10:27, 12:24);Play Offs;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=fyHbuHrH
1574849990-1429;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Poprad W - Piestanske Cajky W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/poprad-w-piestanske-cajky-w/zHyfuekL/;03.12.2017 - 16:00;(7:24, 7:14, 11:21, 9:20);;
1574849710-1339;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=Ym7drwE4;Nitra W - Banska Bystrica W;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/nitra-w-banska-bystrica-w/AByDgoO6/;21.03.2018 - 18:00;(17:16, 19:9, 17:17, 16:14);5th-8th places;https://www.betexplorer.com/basketball/slovakia/extraliga-women-2017-2018/results/?stage=x063vybN
